Entity,Number ID,Coat color,Gender,Father,Mum,D.O.B,D.O.D,Cause of death,Censored,Lifespan (days),Code,Name Treatment,Drug Treatment,Cage,Position,,Blood,Batch,Current Age,month,Dead age or alive,month,1,1.5,2,3,4,4.5,5,6,8,10,12,14,15,17,18,Pups total,Pups euthanized,Weaning date,Weaning days,Males,Females,Dead
MOU001049,349,Agouti,Male,MOU000076,MOU000041,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,32,R001B_G08,,,E_2022_42_CEB,475,15.6,475,15.6,17.4,22.4,27.3,29.4,41.4,42.6,43.7,45.8,49.1,46.3,50.5,49.1,39.8,,,12,2,9-Nov-2022,21,6,4,0
MOU001050,350,Agouti,Male,MOU000076,MOU000041,19-Oct-22,,,,475,0Y,Control,MDR000022,43,R001B_E10,,,E_2022_42_CEB,475,15.6,475,15.6,17.8,22.5,27.1,29.7,30.8,32.7,34.5,32.9,35.2,35.6,36.8,36.1,36.6,,,12,2,9-Nov-2022,21,6,4,0
MOU001051,351,Agouti,Female,MOU000076,MOU000041,19-Oct-22,,,,475,0Y,Control,MDR000022,85,R004A_G07,,YES2,E_2022_42_CEB,475,15.6,475,15.6,19.1,22.6,26.0,30.6,35.9,38.5,41.1,42.8,50.3,54.6,58.6,60.5,61.4,,,12,2,9-Nov-2022,21,6,4,0
MOU001052,352,Agouti,Female,MOU000076,MOU000041,19-Oct-22,,,,475,1D,,,86,R004B_J08,,YES2,E_2022_42_CEB,475,15.6,475,15.6,16.8,21.9,26.9,32.6,36.3,38.4,40.5,41.8,46.3,48.9,48.5,50.9,50.6,,,12,2,9-Nov-2022,21,6,4,0
MOU001053,353,Black,Female,MOU000076,MOU000041,19-Oct-22,,,,475,0Y,Control,MDR000022,87,R004A_G08,,,E_2022_42_CEB,475,15.6,475,15.6,17.3,19.5,21.6,30.4,32.7,37.1,41.5,45.2,50.1,52.4,56.4,56.4,56.6,,,12,2,9-Nov-2022,21,6,4,0
MOU001054,354,Black,Female,MOU000076,MOU000041,19-Oct-22,,,,475,1C,,,88,R004B_I09,,,E_2022_42_CEB,475,15.6,475,15.6,16.2,18.3,20.3,28.2,29.3,33.4,37.5,37.5,45.1,49.0,52.2,54.3,58.6,,,12,2,9-Nov-2022,21,6,4,0
MOU001055,355,Light,Male,MOU000078,MOU000043,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,34,R001B_H08,,,E_2022_42_CEB,475,15.6,475,15.6,19.6,23.9,28.2,34.0,37.8,40.6,43.4,41.0,49.3,41.8,46.6,48.2,47.1,,,10,0,9-Nov-2022,21,5,5,0
MOU001056,356,Agouti,Male,MOU000078,MOU000043,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,35,R001B_H09,,YES,E_2022_42_CEB,475,15.6,475,15.6,20.4,26.6,32.8,40.0,45.5,46.4,47.2,47.1,50.7,53.8,55.5,55.8,55.3,,,10,0,9-Nov-2022,21,5,5,0
MOU001057,357,Agouti,Male,MOU000078,MOU000043,19-Oct-22,,,,475,0Y,Control,MDR000022,36,R001B_E08,,YES,E_2022_42_CEB,475,15.6,475,15.6,22.6,27.5,32.4,38.0,41.2,41.7,42.2,43.7,48.1,48.7,50.2,50.8,49.4,,,10,0,9-Nov-2022,21,5,5,0
MOU001058,358,Black,Male,MOU000078,MOU000043,19-Oct-22,1-Dec-23,Found dead,0,408,1A,Rapamycin | 14 ppm,MDR000023,31,R001B_G07,,,E_2022_42_CEB,475,15.6,408,13.4,18.8,26.3,33.8,42.2,44.0,45.8,47.5,49.5,52.9,55.8,55.6,,,,,10,0,9-Nov-2022,21,5,5,1
MOU001059,359,Black,Male,MOU000078,MOU000043,19-Oct-22,2-Jun-23,Found dead,1,226,1A,Rapamycin | 14 ppm,MDR000023,32,R001B_G08,,,E_2022_42_CEB,475,15.6,226,7.4,19.1,23.3,27.4,30.0,33.3,34.4,35.5,36.0,,,,,,,,10,0,9-Nov-2022,21,5,5,1
MOU001060,360,Light,Female,MOU000078,MOU000043,19-Oct-22,,,,475,1E,,,89,R004B_K08,,,E_2022_42_CEB,475,15.6,475,15.6,16.3,18.0,19.7,21.2,23.7,24.7,25.6,27.0,35.1,36.9,42.2,42.6,44.6,,,10,0,9-Nov-2022,21,5,5,0
MOU001061,361,Light,Female,MOU000078,MOU000043,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,90,R004A_H07,,YES2,E_2022_42_CEB,475,15.6,475,15.6,14.4,17.4,20.4,22.9,26.9,28.7,30.5,29.9,34.1,33.7,38.4,43.3,42.5,,,10,0,9-Nov-2022,21,5,5,0
MOU001062,362,Agouti,Female,MOU000078,MOU000043,19-Oct-22,,,,475,0Y,Control,MDR000022,87,R004A_G08,,,E_2022_42_CEB,475,15.6,475,15.6,17.3,19.6,21.8,28.0,35.3,38.3,41.3,43.7,49.6,50.4,56.5,58.0,60.8,,,10,0,9-Nov-2022,21,5,5,0
MOU001063,363,Agouti,Female,MOU000078,MOU000043,19-Oct-22,19-Sep-23,Found dead,0,335,1C,,,88,R004B_I09,,,E_2022_42_CEB,475,15.6,335,11.0,15.9,18.7,21.5,28.6,33.6,37.2,40.8,41.6,46.4,41.4,,,,,,10,0,9-Nov-2022,21,5,5,1
MOU001064,364,Black,Female,MOU000078,MOU000043,19-Oct-22,,,,475,1E,,,89,R004B_K08,,,E_2022_42_CEB,475,15.6,475,15.6,13.3,15.9,18.4,21.8,24.0,25.8,27.6,29.8,35.4,39.1,39.0,41.9,39.1,,,10,0,9-Nov-2022,21,5,5,0
MOU001065,365,Light,Male,MOU000084,MOU000049,19-Oct-22,29-Mar-23,Found dead,0,161,,,,33,,,,E_2022_42_CEB,475,15.6,161,5.3,19.6,24.6,29.6,35.4,40.8,43.6,46.3,,,,,,,,,11,1,7-Nov-2022,19,5,5,1
MOU001066,366,Agouti,Male,MOU000084,MOU000049,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,34,R001B_H08,,,E_2022_42_CEB,475,15.6,475,15.6,21.9,26.2,30.4,34.2,36.4,37.7,38.9,38.0,47.7,38.6,44.8,43.1,42.3,,,11,1,7-Nov-2022,19,5,5,0
MOU001067,367,Agouti,Male,MOU000084,MOU000049,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,35,R001B_H09,,YES,E_2022_42_CEB,475,15.6,475,15.6,21.2,25.5,29.8,34.3,40.8,42.0,43.1,45.2,48.8,49.7,50.8,52.4,51.9,,,11,1,7-Nov-2022,19,5,5,0
MOU001068,368,Black,Male,MOU000084,MOU000049,19-Oct-22,,,,475,0Y,Control,MDR000022,36,R001B_E08,,YES,E_2022_42_CEB,475,15.6,475,15.6,20.4,25.7,31.0,36.2,38.2,38.2,38.2,38.9,39.9,41.6,42.0,41.2,43.8,,,11,1,7-Nov-2022,19,5,5,0
MOU001069,369,Black,Male,MOU000084,MOU000049,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,31,R001B_G07,,,E_2022_42_CEB,475,15.6,475,15.6,21.0,26.5,31.9,38.9,45.4,46.9,48.3,48.8,50.1,52.5,52.9,53.8,53.4,,,11,1,7-Nov-2022,19,5,5,0
MOU001070,370,Agouti,Female,MOU000084,MOU000049,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,90,R004A_H07,,YES2,E_2022_42_CEB,475,15.6,475,15.6,17.2,19.9,22.5,25.1,27.1,28.1,29.0,29.3,34.7,38.1,39.9,41.0,41.1,,,11,1,7-Nov-2022,19,5,5,0
MOU001071,371,Agouti,Female,MOU000084,MOU000049,19-Oct-22,,,,475,0Y,Control,MDR000022,87,R004A_G08,,,E_2022_42_CEB,475,15.6,475,15.6,16.7,21.1,25.5,32.8,37.7,42.0,46.2,48.9,53.5,56.2,56.3,60.5,60.7,,,11,1,7-Nov-2022,19,5,5,0
MOU001072,372,Agouti,Female,MOU000084,MOU000049,19-Oct-22,,,,475,1C,,,88,R004B_I09,,,E_2022_42_CEB,475,15.6,475,15.6,16.6,18.4,20.1,23.3,27.4,29.8,32.1,30.9,39.4,43.1,50.1,54.4,53.6,,,11,1,7-Nov-2022,19,5,5,0
MOU001073,373,Agouti,Female,MOU000084,MOU000049,19-Oct-22,,,,475,1E,,,89,R004B_K08,,,E_2022_42_CEB,475,15.6,475,15.6,15.6,19.2,22.7,26.3,31.7,33.7,35.7,33.7,40.8,43.2,43.3,43.0,40.4,,,11,1,7-Nov-2022,19,5,5,0
MOU001074,374,Black,Female,MOU000084,MOU000049,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,90,R004A_H07,,YES2,E_2022_42_CEB,475,15.6,475,15.6,17.0,19.7,22.4,26.5,29.7,30.9,32.0,35.9,40.1,33.2,45.1,44.2,45.2,,,11,1,7-Nov-2022,19,5,5,0
MOU001075,375,Light,Male,MOU000070,MOU000006,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,32,R001B_G08,,,E_2022_42_CEB,474,15.5,474,15.5,17.3,21.8,26.2,28.9,30.9,31.1,31.2,37.0,34.7,36.2,36.6,35.6,35.7,,,12,2,9-Nov-2022,20,4,6,0
MOU001076,376,Light,Male,MOU000070,MOU000006,20-Oct-22,17-Nov-23,Tumor,0,393,,,,33,,,,E_2022_42_CEB,474,15.5,393,12.9,21.0,25.8,30.6,36.0,41.6,43.4,45.2,45.9,48.4,49.6,49.3,,,,,12,2,9-Nov-2022,20,4,6,1
MOU001077,377,Agouti,Male,MOU000070,MOU000006,20-Oct-22,,,,474,1B,Acarbose | 1000 ppm,MDR000025,34,R001B_H08,,,E_2022_42_CEB,474,15.5,474,15.5,19.7,24.2,28.7,34.4,38.4,40.6,42.8,46.0,49.9,36.4,51.1,48.9,47.8,,,12,2,9-Nov-2022,20,4,6,0
MOU001078,378,Agouti,Male,MOU000070,MOU000006,20-Oct-22,,,,474,1B,Acarbose | 1000 ppm,MDR000025,35,R001B_H09,,YES,E_2022_42_CEB,474,15.5,474,15.5,22.8,29.6,36.3,45.8,51.4,52.3,53.2,55.5,59.4,62.7,62.3,61.7,61.0,,,12,2,9-Nov-2022,20,4,6,0
MOU001079,379,Light,Female,MOU000070,MOU000006,20-Oct-22,,,,474,0Y,Control,MDR000022,87,R004A_G08,,,E_2022_42_CEB,474,15.5,474,15.5,15.8,18.5,21.1,24.0,28.1,31.2,34.2,32.4,42.2,46.7,50.9,52.1,51.7,,,12,2,9-Nov-2022,20,4,6,0
MOU001080,380,Agouti,Female,MOU000070,MOU000006,20-Oct-22,,,,474,1C,,,88,R004B_I09,,,E_2022_42_CEB,474,15.5,474,15.5,16.9,19.5,22.1,22.2,29.5,30.0,30.5,34.3,38.4,48.3,51.4,50.1,54.1,,,12,2,9-Nov-2022,20,4,6,0
MOU001081,381,Agouti,Female,MOU000070,MOU000006,20-Oct-22,,,,474,1E,,,89,R004B_K08,,,E_2022_42_CEB,474,15.5,474,15.5,12.9,14.7,16.5,17.8,20.5,20.4,20.3,20.1,22.2,22.1,23.3,25.6,23.7,,,12,2,9-Nov-2022,20,4,6,0
MOU001082,382,Agouti,Female,MOU000070,MOU000006,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,90,R004A_H07,,YES2,E_2022_42_CEB,474,15.5,474,15.5,13.8,16.1,18.3,20.4,25.3,27.2,29.1,34.0,38.4,40.1,43.2,45.5,46.8,,,12,2,9-Nov-2022,20,4,6,0
MOU001083,383,Black,Female,MOU000070,MOU000006,20-Oct-22,,,,474,0Y,Control,MDR000022,87,R004A_G08,,,E_2022_42_CEB,474,15.5,474,15.5,16.0,18.9,21.7,24.8,32.7,34.0,35.3,40.1,44.8,50.5,53.3,54.1,58.2,,,12,2,9-Nov-2022,20,4,6,0
MOU001084,384,Black,Female,MOU000070,MOU000006,20-Oct-22,,,,474,1C,,,88,R004B_I09,,,E_2022_42_CEB,474,15.5,474,15.5,16.2,18.0,19.8,27.4,29.8,31.9,33.9,37.8,44.5,50.4,55.3,58.6,58.8,,,12,2,9-Nov-2022,20,4,6,0
MOU001085,385,Light,Male,MOU000075,MOU000009,20-Oct-22,,,,474,0Y,Control,MDR000022,36,R001B_E08,,YES,E_2022_42_CEB,474,15.5,474,15.5,21.0,27.5,34.0,38.5,41.8,41.1,40.4,43.5,47.1,49.9,48.4,48.2,47.7,,,10,0,9-Nov-2022,20,8,2,0
MOU001086,386,Light,Male,MOU000075,MOU000009,20-Oct-22,,,,474,0Z,Canagliflozin | 180 ppm,MDR000024,37,R001B_F09,,,E_2022_42_CEB,474,15.5,474,15.5,20.3,24.8,29.2,32.4,36.5,38.9,41.2,35.6,39.5,39.8,36.5,40.5,40.2,,,10,0,9-Nov-2022,20,8,2,0
MOU001087,387,Brown,Male,MOU000075,MOU000009,20-Oct-22,,,,474,0Y,Control,MDR000022,38,R001B_E09,,,E_2022_42_CEB,474,15.5,474,15.5,21.1,23.9,26.7,29.6,33.8,34.4,35.0,38.1,43.8,46.8,47.4,47.9,49.4,,,10,0,9-Nov-2022,20,8,2,0
MOU001088,388,Agouti,Male,MOU000075,MOU000009,20-Oct-22,,,,474,1B,Acarbose | 1000 ppm,MDR000025,39,R001B_H10,,,E_2022_42_CEB,474,15.5,474,15.5,20.5,27.3,34.1,40.5,45.2,47.0,48.8,49.1,54.2,57.2,47.9,52.3,53.4,,,10,0,9-Nov-2022,20,8,2,0
MOU001089,389,Agouti,Male,MOU000075,MOU000009,20-Oct-22,12-Jun-23,Fighting,1,235,,,,40,,,,E_2022_42_CEB,474,15.5,235,7.7,18.5,22.4,26.2,29.8,33.8,34.8,35.8,35.6,,,,,,,,10,0,9-Nov-2022,20,8,2,1
MOU001090,390,Agouti,Male,MOU000075,MOU000009,20-Oct-22,,,,474,0Z,Canagliflozin | 180 ppm,MDR000024,41,R001B_F10,,,E_2022_42_CEB,474,15.5,474,15.5,19.2,21.6,24.0,27.1,30.3,31.8,33.2,34.3,40.1,44.2,45.2,51.4,43.9,,,10,0,9-Nov-2022,20,8,2,0
MOU001091,391,Black,Male,MOU000075,MOU000009,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,42,R001B_G09,,,E_2022_42_CEB,474,15.5,474,15.5,18.3,23.1,27.8,31.3,35.9,42.8,49.6,35.5,38.3,43.3,43.9,45.9,45.2,,,10,0,9-Nov-2022,20,8,2,0
MOU001092,392,Black,Male,MOU000075,MOU000009,20-Oct-22,,,,474,0Z,Canagliflozin | 180 ppm,MDR000024,37,R001B_F09,,,E_2022_42_CEB,474,15.5,474,15.5,20.0,24.2,28.3,32.6,40.1,43.4,46.6,47.7,50.2,51.5,54.5,50.6,53.6,,,10,0,9-Nov-2022,20,8,2,0
MOU001093,393,Agouti,Female,MOU000075,MOU000009,20-Oct-22,,,,474,1E,,,89,R004B_K08,,,E_2022_42_CEB,474,15.5,474,15.5,16.5,18.8,21.0,24.0,26.2,26.4,26.6,26.7,32.5,32.6,34.8,34.6,35.1,,,10,0,9-Nov-2022,20,8,2,0
MOU001094,394,Black,Female,MOU000075,MOU000009,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,90,R004A_H07,,YES2,E_2022_42_CEB,474,15.5,474,15.5,13.2,15.8,18.3,21.1,23.9,25.6,27.2,30.9,33.3,37.3,41.5,43.6,43.0,,,10,0,9-Nov-2022,20,8,2,0
MOU001095,395,Brown,Male,MOU000055,MOU000010,20-Oct-22,1-Dec-23,Found dead,0,407,0Y,Control,MDR000022,38,R001B_E09,,,E_2022_42_CEB,474,15.5,407,13.3,21.2,27.4,33.5,39.8,44.2,45.4,46.5,47.3,52.1,57.7,57.6,,,,,12,2,9-Nov-2022,20,5,5,1
MOU001096,396,Agouti,Male,MOU000055,MOU000010,20-Oct-22,,,,474,1B,Acarbose | 1000 ppm,MDR000025,39,R001B_H10,,,E_2022_42_CEB,474,15.5,474,15.5,19.8,24.9,30.0,33.9,40.3,42.5,44.7,45.4,48.7,57.2,45.6,48.1,48.0,,,12,2,9-Nov-2022,20,5,5,0
MOU001097,397,Agouti,Male,MOU000055,MOU000010,20-Oct-22,30-Mar-23,Fighting,1,161,,,,40,,,,E_2022_42_CEB,474,15.5,161,5.3,20.6,24.3,27.9,30.0,33.5,34.2,34.9,,,,,,,,,12,2,9-Nov-2022,20,5,5,1
MOU001098,398,Agouti,Male,MOU000055,MOU000010,20-Oct-22,,,,474,0Z,Canagliflozin | 180 ppm,MDR000024,41,R001B_F10,,,E_2022_42_CEB,474,15.5,474,15.5,18.4,21.9,25.3,31.0,37.1,40.1,43.1,45.3,47.1,49.3,44.5,44.4,49.6,,,12,2,9-Nov-2022,20,5,5,0
MOU001099,399,Black,Male,MOU000055,MOU000010,20-Oct-22,19-Oct-23,Found dead,0,364,1A,Rapamycin | 14 ppm,MDR000023,42,R001B_G09,,,E_2022_42_CEB,474,15.5,364,11.9,23.1,27.5,31.9,38.6,45.2,49.9,54.6,46.7,52.4,53.5,,,,,,12,2,9-Nov-2022,20,5,5,1
MOU001100,400,Agouti,Female,MOU000055,MOU000010,20-Oct-22,,,,474,1E,,,91,R004B_K09,,YES2,E_2022_42_CEB,474,15.5,474,15.5,17.0,19.3,21.6,26.2,32.9,36.0,39.0,37.6,46.3,49.8,54.0,60.8,61.2,,,12,2,9-Nov-2022,20,5,5,0
MOU001101,401,Agouti,Female,MOU000055,MOU000010,20-Oct-22,,,,474,0Y,Control,MDR000022,92,R004A_G09,,,E_2022_42_CEB,474,15.5,474,15.5,16.1,18.2,20.3,25.1,27.1,28.8,30.5,32.0,36.1,41.5,47.3,46.2,48.9,,,12,2,9-Nov-2022,20,5,5,0
MOU001102,402,Agouti,Female,MOU000055,MOU000010,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,93,R004A_H08,,,E_2022_42_CEB,474,15.5,474,15.5,16.8,19.6,22.4,28.0,34.0,38.2,42.3,42.9,51.9,57.5,62.0,62.8,64.0,,,12,2,9-Nov-2022,20,5,5,0
MOU001103,403,Agouti,Female,MOU000055,MOU000010,20-Oct-22,,,,474,1A,Rapamycin | 14 ppm,MDR000023,94,R004A_H09,,,E_2022_42_CEB,474,15.5,474,15.5,14.6,16.8,19.0,21.8,26.0,26.6,27.2,29.8,30.4,40.6,41.9,48.3,46.9,,,12,2,9-Nov-2022,20,5,5,0
MOU001104,404,Black,Female,MOU000055,MOU000010,20-Oct-22,,,,474,1E,,,91,R004B_K09,,YES2,E_2022_42_CEB,474,15.5,474,15.5,15.5,17.8,20.0,22.1,25.2,26.9,28.6,31.7,40.5,44.1,45.0,51.0,44.6,,,12,2,9-Nov-2022,20,5,5,0
MOU001105,405,Light,Male,MOU000057,MOU000013,19-Oct-22,1-Dec-23,Found dead,0,408,0Z,Canagliflozin | 180 ppm,MDR000024,37,R001B_F09,,,E_2022_42_CEB,475,15.6,408,13.4,19.7,26.8,33.9,38.9,40.8,42.3,43.7,44.3,47.8,48.7,51.0,,,,,9,0,9-Nov-2022,21,6,4,1
MOU001106,406,Light,Male,MOU000057,MOU000013,19-Oct-22,,,,475,0Y,Control,MDR000022,38,R001B_E09,,,E_2022_42_CEB,475,15.6,475,15.6,18.6,24.2,29.8,35.5,40.3,41.9,43.5,46.0,48.4,51.8,52.5,52.0,51.5,,,9,0,9-Nov-2022,21,6,4,0
MOU001107,407,Agouti,Male,MOU000057,MOU000013,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,39,R001B_H10,,,E_2022_42_CEB,475,15.6,475,15.6,22.6,29.4,36.2,41.7,46.4,47.7,48.9,49.0,51.7,50.9,48.5,53.7,51.5,,,9,0,9-Nov-2022,21,6,4,0
MOU001108,408,Agouti,Male,MOU000057,MOU000013,19-Oct-22,12-Jun-23,Fighting,1,236,,,,40,,,,E_2022_42_CEB,475,15.6,236,7.7,20.9,25.1,29.2,34.0,38.9,38.8,38.7,38.8,,,,,,,,9,0,9-Nov-2022,21,6,4,1
MOU001109,409,Agouti,Male,MOU000057,MOU000013,19-Oct-22,,,,475,0Z,Canagliflozin | 180 ppm,MDR000024,41,R001B_F10,,,E_2022_42_CEB,475,15.6,475,15.6,19.8,22.9,25.9,28.2,33.8,34.9,36.0,38.5,43.6,45.8,44.8,45.4,43.7,,,9,0,9-Nov-2022,21,6,4,0
MOU001110,410,Agouti,Male,MOU000057,MOU000013,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,42,R001B_G09,,,E_2022_42_CEB,475,15.6,475,15.6,20.6,25.2,29.7,37.6,45.0,46.5,47.9,47.4,47.7,51.4,51.2,54.5,52.2,,,9,0,9-Nov-2022,21,6,4,0
MOU001111,411,Agouti,Female,MOU000057,MOU000013,19-Oct-22,,,,475,0Y,Control,MDR000022,92,R004A_G09,,,E_2022_42_CEB,475,15.6,475,15.6,15.6,18.5,21.3,24.8,28.8,32.6,36.4,34.1,44.4,48.7,52.0,52.0,53.2,,,9,0,9-Nov-2022,21,6,4,0
MOU001112,412,Agouti,Female,MOU000057,MOU000013,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,93,R004A_H08,,,E_2022_42_CEB,475,15.6,475,15.6,15.9,18.1,20.3,23.5,25.8,27.5,29.1,31.6,34.4,39.2,41.8,45.1,46.0,,,9,0,9-Nov-2022,21,6,4,0
MOU001113,413,Agouti,Female,MOU000057,MOU000013,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,94,R004A_H09,,,E_2022_42_CEB,475,15.6,475,15.6,16.5,19.8,23.0,24.7,28.5,29.0,29.4,31.5,37.8,43.2,44.4,46.4,45.7,,,9,0,9-Nov-2022,21,6,4,0
MOU001114,414,Black,Female,MOU000057,MOU000013,19-Oct-22,,,,475,1E,,,91,R004B_K09,,YES2,E_2022_42_CEB,475,15.6,475,15.6,16.9,18.0,19.0,24.3,26.3,27.8,29.3,28.0,34.7,39.2,41.2,44.1,46.3,,,9,0,9-Nov-2022,21,6,4,0
MOU001115,415,Agouti,Male,MOU000060,MOU000015,19-Oct-22,,,,475,0Z,Canagliflozin | 180 ppm,MDR000024,37,R001B_F09,,,E_2022_42_CEB,475,15.6,475,15.6,19.0,22.2,25.3,27.3,29.6,30.4,31.2,28.7,32.4,34.6,33.8,33.9,35.0,,,10,0,9-Nov-2022,21,6,4,0
MOU001116,416,Agouti,Male,MOU000060,MOU000015,19-Oct-22,,,,475,0Y,Control,MDR000022,38,R001B_E09,,,E_2022_42_CEB,475,15.6,475,15.6,20.4,24.6,28.7,33.6,36.9,38.1,39.2,40.3,41.6,43.8,43.6,43.5,43.5,,,10,0,9-Nov-2022,21,6,4,0
MOU001117,417,Agouti,Male,MOU000060,MOU000015,19-Oct-22,,,,475,1B,Acarbose | 1000 ppm,MDR000025,39,R001B_H10,,,E_2022_42_CEB,475,15.6,475,15.6,19.5,23.2,26.8,30.8,36.8,39.4,42.0,45.5,51.2,,42.6,45.2,49.8,,,10,0,9-Nov-2022,21,6,4,0
MOU001118,418,Agouti,Male,MOU000060,MOU000015,19-Oct-22,30-Mar-23,Fighting,1,162,,,,40,,,,E_2022_42_CEB,475,15.6,162,5.3,19.2,24.5,29.8,35.8,39.8,37.3,34.8,,,,,,,,,10,0,9-Nov-2022,21,6,4,1
MOU001119,419,Black,Male,MOU000060,MOU000015,19-Oct-22,12-Sep-23,Dermatitis,0,328,0Z,Canagliflozin | 180 ppm,MDR000024,41,R001B_F10,,,E_2022_42_CEB,475,15.6,328,10.8,20.0,25.0,29.9,31.5,36.7,36.8,36.8,39.1,44.9,46.6,,,,,,10,0,9-Nov-2022,21,6,4,1
MOU001120,420,Black,Male,MOU000060,MOU000015,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,42,R001B_G09,,,E_2022_42_CEB,475,15.6,475,15.6,19.4,24.2,29.0,32.0,36.1,37.7,39.2,37.0,42.1,47.2,48.5,50.2,49.1,,,10,0,9-Nov-2022,21,6,4,0
MOU001121,421,Agouti,Female,MOU000060,MOU000015,19-Oct-22,,,,475,0Y,Control,MDR000022,92,R004A_G09,,,E_2022_42_CEB,475,15.6,475,15.6,13.5,15.7,17.9,20.7,21.1,23.4,25.7,26.3,31.4,35.1,39.5,38.7,47.1,,,10,0,9-Nov-2022,21,6,4,0
MOU001122,422,Agouti,Female,MOU000060,MOU000015,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,93,R004A_H08,,,E_2022_42_CEB,475,15.6,475,15.6,16.4,20.3,24.1,28.6,34.0,38.7,43.4,45.2,50.2,53.1,57.1,61.2,59.1,,,10,0,9-Nov-2022,21,6,4,0
MOU001123,423,Agouti,Female,MOU000060,MOU000015,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,94,R004A_H09,,,E_2022_42_CEB,475,15.6,475,15.6,16.2,19.0,21.7,26.5,30.3,31.2,32.1,37.0,39.3,45.7,48.5,52.8,50.0,,,10,0,9-Nov-2022,21,6,4,0
MOU001124,424,Black,Female,MOU000060,MOU000015,19-Oct-22,,,,475,1E,,,91,R004B_K09,,YES2,E_2022_42_CEB,475,15.6,475,15.6,14.7,16.8,18.9,22.7,23.2,25.1,27.0,29.6,40.1,45.8,47.9,37.8,32.2,,,10,0,9-Nov-2022,21,6,4,0
MOU001125,425,Agouti,Male,MOU000059,MOU000016,19-Oct-22,,,,475,0Z,Canagliflozin | 180 ppm,MDR000024,37,R001B_F09,,,E_2022_42_CEB,475,15.6,475,15.6,20.1,26.1,32.1,36.0,39.8,41.4,43.0,41.9,41.6,42.8,43.8,40.5,29.8,,,11,1,9-Nov-2022,21,2,8,0
MOU001126,426,Agouti,Male,MOU000059,MOU000016,19-Oct-22,,,,475,0Y,Control,MDR000022,38,R001B_E09,,,E_2022_42_CEB,475,15.6,475,15.6,21.1,27.5,33.8,40.7,46.2,46.9,47.5,48.2,50.2,57.5,56.8,57.6,57.4,,,11,1,9-Nov-2022,21,2,8,0
MOU001127,427,Light,Female,MOU000059,MOU000016,19-Oct-22,,,,475,0Y,Control,MDR000022,92,R004A_G09,,,E_2022_42_CEB,475,15.6,475,15.6,16.8,19.8,22.7,26.7,29.2,31.4,33.6,36.4,43.8,46.9,49.8,49.6,50.6,,,11,1,9-Nov-2022,21,2,8,0
MOU001128,428,Light,Female,MOU000059,MOU000016,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,93,R004A_H08,,,E_2022_42_CEB,475,15.6,475,15.6,16.0,18.8,21.6,24.6,28.9,29.8,30.7,33.6,35.6,41.8,44.2,44.1,45.4,,,11,1,9-Nov-2022,21,2,8,0
MOU001129,429,Light,Female,MOU000059,MOU000016,19-Oct-22,,,,475,1A,Rapamycin | 14 ppm,MDR000023,94,R004A_H09,,,E_2022_42_CEB,475,15.6,475,15.6,15.2,17.3,19.4,21.4,25.1,27.2,29.2,27.4,36.2,37.5,42.1,40.6,40.5,,,11,1,9-Nov-2022,21,2,8,0
MOU001130,430,Agouti,Female,MOU000059,MOU000016,19-Oct-22,,,,475,1E,,,91,R004B_K09,,YES2,E_2022_42_CEB,475,15.6,475,15.6,17.0,19.1,21.1,25.7,28.3,30.9,33.5,35.5,45.6,52.2,61.0,62.2,59.1,,,11,1,9-Nov-2022,21,2,8,0
MOU001131,431,Agouti,Female,MOU000059,MOU000016,19-Oct-22,,,,475,0Y,Control,MDR000022,92,R004A_G09,,,E_2022_42_CEB,475,15.6,475,15.6,15.4,17.8,20.1,24.0,25.7,26.8,27.9,29.5,37.5,41.5,45.2,45.7,38.3,,,11,1,9-Nov-2022,21,2,8,0
